word,definition,created-at,Created,Modified,alternative-spellings,kate-farm-school,language,opposite,part-of-speach,part-of-speech,pronounciation,source,source-url,updated-at
nadir,the lowest point in the fortunes of a person or organization,2023-08-12 19:37:50,2023-08-12T19:37:50.000-07:00,2024-03-07T07:55:51.000-08:00,,yes,,,,noun,,,,2024-03-07 07:55:50
obdurate,stubbornly refusing to change one's opinion or course of action,2023-08-30 17:51:47,2023-08-30T17:51:47.000-07:00,2023-09-29T08:28:22.000-07:00,,,,,,adjective,,,,2023-09-29 08:28:12
orthogonal,"of or involving right angles; at right angles,(statistics) statistically independent",2023-07-11 22:06:30,2023-07-11T22:06:30.000-07:00,2023-09-29T08:28:36.000-07:00,,,English,,,adjective,,,,2023-09-29 08:28:30
paucity,the presence of something only in small or insufficient quantities or amounts; scarcity.,2023-08-12 19:37:45,2023-08-12T19:37:45.000-07:00,2024-02-22T08:00:52.000-08:00,,yes,,,,,,,,2024-02-22 08:00:49
perfidy,,2024-02-28 22:25:13,2024-02-28T22:25:13.000-08:00,2024-02-28T22:25:13.000-08:00,,,English,,,,,,,2024-02-28 22:25:13
perspicacity,the quality of having a ready insight into things; shrewdness,2023-07-09 21:30:23,2023-07-09T21:30:23.000-07:00,2023-09-29T08:29:31.000-07:00,,,English,,,noun,,,,2023-09-29 08:29:31
piquancy,a pleasantly sharp and appetizing flavor,2023-10-18 15:41:04,2023-10-18T15:40:59.000-07:00,2024-03-21T08:05:11.250-07:00,,yes,English,,,,,,,2024-03-21 08:05:09
prestidigitation,the art or skill of performing tricks or illusions for entertainmentHoudini's powers of prestidigitation remain legendary to this very day,2024-04-04 07:55:50,2024-04-04T07:55:50.410-07:00,2024-04-04T07:56:15.665-07:00,,yes,English,,,,,,,2024-04-04 07:55:50
propinquity,"the state of being close to someone or something; proximity,kinship",2023-08-05 09:03:47,2023-08-05T09:03:47.000-07:00,2024-04-25T08:19:05.902-07:00,,yes,,,,,,,,2024-04-25 08:19:05
proprioception,"the sense though which we perceive the position and movement of our body, including our sense of equilibrium and balance, senses that depend on the notion of force",2023-07-16 20:00:07,2023-07-16T20:00:07.000-07:00,2023-09-29T08:29:47.000-07:00,,,English,,,noun,,,,2023-09-29 08:29:47
puerile,childishly silly and trivial,2024-02-28 22:18:55,2024-02-28T22:18:54.000-08:00,2024-02-28T22:19:10.000-08:00,,yes,English,,,,,,,2024-02-28 22:18:55
puissant,having great power or influence,2023-09-18 14:22:55,2023-09-18T14:22:55.000-07:00,2024-03-21T08:03:52.027-07:00,,yes,English,,,adjective,"/ˈpwisnt,ˈpyo͞oəsnt,pyo͞oˈisnt/",,,2024-03-21 08:03:50
querulous,complaining in a petulant or whining manner,2024-02-28 22:20:38,2024-02-28T22:20:38.000-08:00,2024-02-28T22:20:55.000-08:00,,,English,,,,,,,2024-02-28 22:20:38
quiescent,being quiet and still,2024-02-28 22:17:15,2024-02-28T22:17:15.000-08:00,2024-02-28T22:18:23.000-08:00,,yes,English,,,,,,,2024-02-28 22:17:15
quintessence,perfect example,2023-07-10 18:02:14,2023-07-10T18:02:14.000-07:00,2023-09-29T08:29:53.000-07:00,,,English,,,noun,,,,2023-09-29 08:29:53
quixotic,exceedingly idealistic; unrealistic and impractical,2023-07-23 17:16:22,2023-07-23T17:16:22.000-07:00,2024-02-15T08:27:42.000-08:00,,yes,,,,adjective,,,,2024-02-15 08:27:38
rebarbative,"causing annoyance, irritation, or exasperation,unpleasantly abrasive or stern",2023-10-11 20:43:35,2023-10-11T20:43:35.000-07:00,2023-10-11T20:44:05.000-07:00,,,English,,,,,,,2023-10-11 20:43:35
recrudescence,(formal) the recurrence of an undesirable condition,2024-02-05 15:49:12,2024-02-05T15:49:11.000-08:00,2024-02-05T15:56:20.000-08:00,,,English,,,,,,,2024-02-05 15:56:20
salubrious,healthy,2024-02-28 22:15:48,2024-02-28T22:15:48.000-08:00,2024-02-28T22:18:29.000-08:00,,yes,English,,,,,,,2024-02-28 22:15:48
ruderal,growing where the natural vegetational cover has been disturbed by humans,2024-02-19 09:56:04,2024-02-19T09:56:04.000-08:00,2024-02-19T09:56:15.000-08:00,,,English,,,,,,,2024-02-19 09:56:04
sanguine,"optimistic, positive",2023-07-10 18:02:50,2023-07-10T18:02:50.000-07:00,2024-03-21T08:02:06.224-07:00,,yes,English,,,adjective,,,,2024-03-21 08:02:01
scintilla,trace or spark of something,2023-07-10 18:03:45,2023-07-10T18:03:45.000-07:00,2024-03-07T07:57:21.000-08:00,,yes,English,,,noun,/ sɪnˈtɪlə /,,,2024-03-07 07:57:20
scurrilous,"(formal) language that contains obscenities, abuse, or, especially, slander",2024-03-21 07:29:31,2024-03-21T07:29:30.981-07:00,2024-03-21T08:00:22.537-07:00,,yes,English,,,,,,,2024-03-21 08:00:21
smur,a drizzly fog or mist,2024-02-19 09:52:37,2024-02-19T09:52:37.000-08:00,2024-02-22T08:03:50.000-08:00,smurr,yes,English,,,,,,,2024-02-22 08:03:48
sobriquet,a person's nickname,2024-02-05 15:49:01,2024-02-05T15:49:01.000-08:00,2024-02-22T08:04:34.000-08:00,,yes,English,,,,,,,2024-02-22 08:04:33
splentic,(formal) sharp annoyance or anger,2023-10-04 20:28:39,2023-10-04T20:28:39.000-07:00,2024-04-25T08:20:23.712-07:00,,yes,English,,,,,,,2024-04-25 08:20:22
staid,"sedate, respectable, and unadventurous",2023-07-10 21:52:07,2023-07-10T21:52:07.000-07:00,2024-03-14T08:16:53.969-07:00,,yes,English,,,adjective,,,,2024-03-14 08:16:52
stultify,"cause to lose enthusiasm and initiative, especially as a result of a tedious or restrictive routine",2023-07-11 22:08:48,2023-07-11T22:08:48.000-07:00,2024-02-15T08:26:08.000-08:00,,yes,English,,,verb,,,,2024-02-15 08:26:06
susurrus,a whispering or rustling sound,2024-02-19 09:53:49,2024-02-19T09:53:49.000-08:00,2024-03-07T07:50:30.000-08:00,,yes,English,,,,,,,2024-03-07 07:50:29
syzygy,an alignment of three celestial bodies,2023-07-10 18:06:02,2023-07-10T18:06:02.000-07:00,2023-09-29T08:30:15.000-07:00,,,English,,,noun,/ˈsɪzɪdʒi/,,,2023-09-29 08:30:15
teleology,the explanation of phenomenon in terms of the purpose they serve rather than the caused by which they arise,2023-07-06 20:43:26,2023-07-06T20:43:26.000-07:00,2023-09-29T08:30:18.000-07:00,,,English,,,noun,,https://www.youtube.com/watch?v=7STmcKCBI_0,,2023-09-29 08:30:18
zenith,highest point of the sun,2024-02-19 09:55:25,2024-02-19T09:55:24.000-08:00,2024-03-07T07:52:30.000-08:00,,yes,English,,,,,,,2024-03-07 07:52:29
